2026-01-31 05:05:58,064 | DEBUG | Linked new note 1769832358062 into source note 1769832354547 field LinkedNotes
2026-01-31 05:05:58,067 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:05:58,067 | INFO | Conversion finished
2026-01-31 05:09:02,014 | INFO | Debug logging enabled
2026-01-31 05:09:02,016 | INFO | Debug logging enabled
2026-01-31 05:09:02,017 | INFO | Debug logging enabled
2026-01-31 05:09:02,018 | INFO | Debug logging enabled
2026-01-31 05:09:02,020 | INFO | Debug logging enabled
2026-01-31 05:09:02,020 | DEBUG | Registered menu actions via AJpC hook
2026-01-31 05:09:02,356 | DEBUG | pykakasi already available
2026-01-31 05:14:35,948 | INFO | Debug logging enabled
2026-01-31 05:14:35,949 | INFO | Auto conversion after sync
2026-01-31 05:14:35,950 | INFO | Conversion started (manual=False)
2026-01-31 05:14:35,952 | INFO | Debug logging enabled
2026-01-31 05:14:35,953 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:14:35,959 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:14:36,130 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'news14k', 'pn', 'priority', 'form', '★'] out=['JPN::Stil::formal/literarisch', 'JPN::Tags::unmapped::4', 'JPN::Wortart::Pronomen']
2026-01-31 05:14:36,131 | DEBUG | Collected tags for note 1769832872318: ['Freq::2763', 'JLPT::N5', 'JPN::Stil::formal/literarisch', 'JPN::Tags::unmapped::4', 'JPN::Wortart::Pronomen', '_intern::yomitan::あちら::1769832872318', '_intern::yomitan_export']
2026-01-31 05:14:36,204 | DEBUG | Linked new note 1769832876199 into source note 1769832872318 field LinkedNotes
2026-01-31 05:14:36,207 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:14:36,208 | INFO | Conversion finished
2026-01-31 05:16:54,929 | INFO | Debug logging enabled
2026-01-31 05:16:54,930 | INFO | Auto conversion after sync
2026-01-31 05:16:54,930 | INFO | Conversion started (manual=False)
2026-01-31 05:16:54,932 | INFO | Debug logging enabled
2026-01-31 05:16:54,933 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:16:54,939 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:16:54,943 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'news17k', 'adj-i', '★'] out=['JPN::Tags::unmapped::7', 'JPN::Wortart::i-Keiyōshi']
2026-01-31 05:16:54,943 | DEBUG | Collected tags for note 1769833011391: ['Freq::2154', 'JLPT::N5', 'JPN::Tags::unmapped::7', 'JPN::Wortart::i-Keiyōshi', '_intern::yomitan::暑あつい::1769833011391', '_intern::yomitan_export']
2026-01-31 05:16:54,946 | DEBUG | Linked new note 1769833014944 into source note 1769833011391 field LinkedNotes
2026-01-31 05:16:54,948 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:16:54,948 | INFO | Conversion finished
2026-01-31 05:17:34,992 | INFO | Debug logging enabled
2026-01-31 05:17:34,992 | INFO | Auto conversion after sync
2026-01-31 05:17:34,993 | INFO | Conversion started (manual=False)
2026-01-31 05:17:34,995 | INFO | Debug logging enabled
2026-01-31 05:17:34,995 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:17:35,002 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:17:35,007 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'news15k', 'adj-i', 'priority', 'form', '★'] out=['JPN::Stil::formal/literarisch', 'JPN::Tags::unmapped::5', 'JPN::Wortart::i-Keiyōshi']
2026-01-31 05:17:35,008 | DEBUG | Collected tags for note 1769833051550: ['Freq::2937', 'JLPT::N5', 'JPN::Stil::formal/literarisch', 'JPN::Tags::unmapped::5', 'JPN::Wortart::i-Keiyōshi', '_intern::yomitan::厚あつい::1769833051550', '_intern::yomitan_export']
2026-01-31 05:17:35,011 | DEBUG | Linked new note 1769833055008 into source note 1769833051550 field LinkedNotes
2026-01-31 05:17:35,013 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:17:35,013 | INFO | Conversion finished
2026-01-31 05:21:15,870 | INFO | Debug logging enabled
2026-01-31 05:21:15,870 | INFO | Auto conversion after sync
2026-01-31 05:21:15,871 | INFO | Conversion started (manual=False)
2026-01-31 05:21:15,872 | INFO | Debug logging enabled
2026-01-31 05:21:15,873 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:21:15,878 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:21:15,882 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'news20k', 'adj-i', 'int', '★'] out=['JPN::Tags::unmapped::0', 'JPN::Wortart::Interjektion', 'JPN::Wortart::i-Keiyōshi']
2026-01-31 05:21:15,883 | DEBUG | Collected tags for note 1769833272329: ['Freq::995', 'JLPT::N5', 'JPN::Tags::unmapped::0', 'JPN::Wortart::Interjektion', 'JPN::Wortart::i-Keiyōshi', '_intern::yomitan::危あぶない::1769833272329', '_intern::yomitan_export']
2026-01-31 05:21:15,885 | DEBUG | Linked new note 1769833275883 into source note 1769833272329 field LinkedNotes
2026-01-31 05:21:15,888 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:21:15,888 | INFO | Conversion finished
2026-01-31 05:23:33,080 | INFO | Debug logging enabled
2026-01-31 05:23:33,080 | INFO | Auto conversion after sync
2026-01-31 05:23:33,081 | INFO | Conversion started (manual=False)
2026-01-31 05:23:33,083 | INFO | Debug logging enabled
2026-01-31 05:23:33,083 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:23:33,091 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:23:33,096 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'v5k', 'vi', '★'] out=['JPN::Wortart::Godan-Verb(unklassifiziert)', 'JPN::Wortart::intransitivesVerb']
2026-01-31 05:23:33,096 | DEBUG | Collected tags for note 1769833409665: ['Freq::208', 'JLPT::N5', 'JPN::Wortart::Godan-Verb(unklassifiziert)', 'JPN::Wortart::intransitivesVerb', '_intern::yomitan::歩あるく::1769833409665', '_intern::yomitan_export']
2026-01-31 05:23:33,192 | DEBUG | Linked new note 1769833413187 into source note 1769833409665 field LinkedNotes
2026-01-31 05:23:33,194 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:23:33,194 | INFO | Conversion finished
2026-01-31 05:24:31,951 | INFO | Debug logging enabled
2026-01-31 05:24:31,951 | INFO | Auto conversion after sync
2026-01-31 05:24:31,951 | INFO | Conversion started (manual=False)
2026-01-31 05:24:31,954 | INFO | Debug logging enabled
2026-01-31 05:24:31,954 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:24:31,960 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:24:31,964 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'news3k', 'n', '★'] out=['JPN::Tags::unmapped::news3', 'JPN::Wortart::Nomen']
2026-01-31 05:24:31,964 | DEBUG | Collected tags for note 1769833468610: ['Freq::3770', 'JLPT::N5', 'JPN::Tags::unmapped::news3', 'JPN::Wortart::Nomen', '_intern::yomitan::池いけ::1769833468610', '_intern::yomitan_export']
2026-01-31 05:24:31,967 | DEBUG | Linked new note 1769833471965 into source note 1769833468610 field LinkedNotes
2026-01-31 05:24:31,971 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:24:31,971 | INFO | Conversion finished
2026-01-31 05:25:33,077 | INFO | Debug logging enabled
2026-01-31 05:25:33,077 | INFO | Auto conversion after sync
2026-01-31 05:25:33,077 | INFO | Conversion started (manual=False)
2026-01-31 05:25:33,080 | INFO | Debug logging enabled
2026-01-31 05:25:33,080 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:25:33,086 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:25:33,090 | DEBUG | Transformed tags: in=['num', '★'] out=['JPN::Wortart::Zahl']
2026-01-31 05:25:33,090 | DEBUG | Collected tags for note 1769833529899: ['JPN::Wortart::Zahl', '_intern::yomitan::五いつ::1769833529899', '_intern::yomitan_export']
2026-01-31 05:25:33,093 | DEBUG | Linked new note 1769833533091 into source note 1769833529899 field LinkedNotes
2026-01-31 05:25:33,096 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:25:33,096 | INFO | Conversion finished
2026-01-31 05:26:16,826 | INFO | Debug logging enabled
2026-01-31 05:26:16,827 | INFO | Auto conversion after sync
2026-01-31 05:26:16,827 | INFO | Conversion started (manual=False)
2026-01-31 05:26:16,829 | INFO | Debug logging enabled
2026-01-31 05:26:16,829 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:26:16,835 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:26:16,838 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'n', 'priority', 'form', '★'] out=['JPN::Stil::formal/literarisch', 'JPN::Wortart::Nomen']
2026-01-31 05:26:16,838 | DEBUG | Collected tags for note 1769833573536: ['Freq::4102', 'JLPT::N5', 'JPN::Stil::formal/literarisch', 'JPN::Wortart::Nomen', '_intern::yomitan::入口いりぐち::1769833573536', '_intern::yomitan_export']
2026-01-31 05:26:16,920 | DEBUG | Linked new note 1769833576918 into source note 1769833573536 field LinkedNotes
2026-01-31 05:26:16,923 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:26:16,923 | INFO | Conversion finished
2026-01-31 05:26:41,523 | INFO | Debug logging enabled
2026-01-31 05:26:41,523 | INFO | Auto conversion after sync
2026-01-31 05:26:41,523 | INFO | Conversion started (manual=False)
2026-01-31 05:26:41,525 | INFO | Debug logging enabled
2026-01-31 05:26:41,526 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:26:41,532 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:26:41,535 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'news10k', 'adj-i', '★'] out=['JPN::Tags::unmapped::0', 'JPN::Wortart::i-Keiyōshi']
2026-01-31 05:26:41,535 | DEBUG | Collected tags for note 1769833598299: ['Freq::1041', 'JLPT::N5', 'JPN::Tags::unmapped::0', 'JPN::Wortart::i-Keiyōshi', '_intern::yomitan::薄うすい::1769833598299', '_intern::yomitan_export']
2026-01-31 05:26:41,538 | DEBUG | Linked new note 1769833601536 into source note 1769833598299 field LinkedNotes
2026-01-31 05:26:41,540 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:26:41,541 | INFO | Conversion finished
2026-01-31 05:27:13,742 | INFO | Debug logging enabled
2026-01-31 05:27:13,743 | INFO | Auto conversion after sync
2026-01-31 05:27:13,743 | INFO | Conversion started (manual=False)
2026-01-31 05:27:13,745 | INFO | Debug logging enabled
2026-01-31 05:27:13,745 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:27:13,751 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:27:13,755 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'v1', 'vi', 'priority', 'form', '★'] out=['JPN::Stil::formal/literarisch', 'JPN::Wortart::Ichidan-Verb', 'JPN::Wortart::intransitivesVerb']
2026-01-31 05:27:13,756 | DEBUG | Collected tags for note 1769833630333: ['JLPT::N5', 'JPN::Stil::formal/literarisch', 'JPN::Wortart::Ichidan-Verb', 'JPN::Wortart::intransitivesVerb', '_intern::yomitan::生うまれる::1769833630333', '_intern::yomitan_export']
2026-01-31 05:27:13,758 | DEBUG | Linked new note 1769833633756 into source note 1769833630333 field LinkedNotes
2026-01-31 05:27:13,761 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:27:13,761 | INFO | Conversion finished
2026-01-31 05:27:33,798 | INFO | Debug logging enabled
2026-01-31 05:27:33,799 | INFO | Auto conversion after sync
2026-01-31 05:27:33,799 | INFO | Conversion started (manual=False)
2026-01-31 05:27:33,801 | INFO | Debug logging enabled
2026-01-31 05:27:33,802 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:27:33,808 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:27:33,812 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'news9k', 'n', 'priority', 'form', '★'] out=['JPN::Stil::formal/literarisch', 'JPN::Tags::unmapped::news9', 'JPN::Wortart::Nomen']
2026-01-31 05:27:33,812 | DEBUG | Collected tags for note 1769833650583: ['Freq::4470', 'JLPT::N5', 'JPN::Stil::formal/literarisch', 'JPN::Tags::unmapped::news9', 'JPN::Wortart::Nomen', '_intern::yomitan::上着うわぎ::1769833650583', '_intern::yomitan_export']
2026-01-31 05:27:33,814 | DEBUG | Linked new note 1769833653812 into source note 1769833650583 field LinkedNotes
2026-01-31 05:27:33,817 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:27:33,817 | INFO | Conversion finished
2026-01-31 05:28:10,657 | INFO | Debug logging enabled
2026-01-31 05:28:10,658 | INFO | Auto conversion after sync
2026-01-31 05:28:10,658 | INFO | Conversion started (manual=False)
2026-01-31 05:28:10,659 | INFO | Debug logging enabled
2026-01-31 05:28:10,660 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:28:10,665 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:28:10,670 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'news5k', 'n', '★'] out=['JPN::Tags::unmapped::news5', 'JPN::Wortart::Nomen']
2026-01-31 05:28:10,670 | DEBUG | Collected tags for note 1769833687228: ['Freq::12753', 'JLPT::N5', 'JPN::Tags::unmapped::news5', 'JPN::Wortart::Nomen', '_intern::yomitan::映画館えいがかん::1769833687228', '_intern::yomitan_export']
2026-01-31 05:28:10,747 | DEBUG | Linked new note 1769833690745 into source note 1769833687228 field LinkedNotes
2026-01-31 05:28:10,750 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:28:10,750 | INFO | Conversion finished
2026-01-31 05:28:25,883 | INFO | Debug logging enabled
2026-01-31 05:28:25,884 | INFO | Auto conversion after sync
2026-01-31 05:28:25,884 | INFO | Conversion started (manual=False)
2026-01-31 05:28:25,886 | INFO | Debug logging enabled
2026-01-31 05:28:25,886 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:28:25,893 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:28:25,897 | DEBUG | Transformed tags: in=['n', '★'] out=['JPN::Wortart::Nomen']
2026-01-31 05:28:25,897 | DEBUG | Collected tags for note 1769833702676: ['Freq::32500', 'JPN::Wortart::Nomen', '_intern::yomitan::エレベータ::1769833702676', '_intern::yomitan_export']
2026-01-31 05:28:25,906 | DEBUG | Linked new note 1769833705898 into source note 1769833702676 field LinkedNotes
2026-01-31 05:28:25,910 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:28:25,910 | INFO | Conversion finished
2026-01-31 05:28:54,733 | INFO | Debug logging enabled
2026-01-31 05:28:54,733 | INFO | Auto conversion after sync
2026-01-31 05:28:54,733 | INFO | Conversion started (manual=False)
2026-01-31 05:28:54,735 | INFO | Debug logging enabled
2026-01-31 05:28:54,735 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:28:54,741 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:28:54,745 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'news2k', 'adj-no', 'adv', 'n', 'priority', 'form', '★'] out=['JPN::Stil::formal/literarisch', 'JPN::Wortart::Adverb', 'JPN::Wortart::Nomen', 'JPN::Wortart::no-Keiyōshi']
2026-01-31 05:28:54,745 | DEBUG | Collected tags for note 1769833731457: ['Freq::2150', 'JLPT::N5', 'JPN::Stil::formal/literarisch', 'JPN::Wortart::Adverb', 'JPN::Wortart::Nomen', 'JPN::Wortart::no-Keiyōshi', '_intern::yomitan::大勢おおぜい::1769833731457', '_intern::yomitan_export']
2026-01-31 05:28:54,747 | DEBUG | Linked new note 1769833734746 into source note 1769833731457 field LinkedNotes
